key,id,baseline,domain,subdomain,area,text
"CRB:5.6.1.11","5.6.1.11","CRB","Technology and Operations","Identity and Access Management","Identity and Access Control Management","Concurrent logins shall be monitored and prevented for critical systems and applications, unless explicitly required for operational continuity or due to vendor-imposed technical limitations from the vendor. Any such exceptions shall be handled following the Exceptions Management policy and procedures of the Regulated Entity."
"CRB:5.6.1.12","5.6.1.12","CRB","Technology and Operations","Identity and Access Management","Identity and Access Control Management","Appropriate audit records of all access management activities and user access shall be logged, monitored, and reviewed at least monthly for privileged access and critical systems, with automated alerts to detect suspicious activities in a timely manner. Broader reviews shall be conducted on quarterly basis for all access logs."
"CRB:5.6.1.13","5.6.1.13","CRB","Technology and Operations","Identity and Access Management","Identity and Access Control Management","Regulated Entities shall conduct access control review at least annually for normal user accounts and quarterly for privileged and third-party vendor accounts, or immediately following any change in personnel, roles, or responsibilities. All inactive accounts and redundant access rights shall be identified and disabled/deleted."
"CRB:5.6.1.14","5.6.1.14","CRB","Technology and Operations","Identity and Access Management","Identity and Access Control Management","Inactive accounts shall be automatically identified after (30) days and disabled after (90) days of inactivity, unless justified and approved through Regulated Entities’s documented processes."
"CRB:5.6.1.15","5.6.1.15","CRB","Technology and Operations","Identity and Access Management","Identity and Access Control Management","Users shall activate a password protected screensaver or logoff the application when leaving workstation unattended."
"CRB:5.6.1.16","5.6.1.16","CRB","Technology and Operations","Identity and Access Management","Identity and Access Control Management","Proper identity security solutions, such as Privileged Access Management (PAM) solutions, shall be implemented to manage, monitor, and control privileged access to systems. The solution shall incorporate real-time monitoring and session management controls, ensuring least privilege and continuous verification."
"CRB:5.6.1.17","5.6.1.17","CRB","Technology and Operations","Identity and Access Management","Identity and Access Control Management","Behavioral analytics tools (e.g., User and Entities Behavior Analytics (UEBA)) shall be employed to monitor user activities for anomalies and trigger automated responses to potential security incidents, such as adaptive access restrictions, escalated authentication requirements, or session timeouts."
"CRB:5.6.2.1","5.6.2.1","CRB","Technology and Operations","Identity and Access Management","Remote Access Management","The Regulated Entities shall establish, implement, and maintain a remote access policy that defines how remote access is granted, managed, monitored, and secured."
"CRB:5.6.2.2","5.6.2.2","CRB","Technology and Operations","Identity and Access Management","Remote Access Management","All remote access granted to users shall be subject to validation of business or operational reasons, approved by relevant stakeholders after due risk assessment, and limited to a defined time period. Zero trust principles shall be applied while granting remote access."
"CRB:5.6.2.3","5.6.2.3","CRB","Technology and Operations","Identity and Access Management","Remote Access Management","Multi-factor authentication shall be implemented for all remote access users, including contractors and third-party vendors. Additional verification steps (e.g., re-authentication, step-up authentication) shall be required as risk-based access controls, based on dynamic parameters (e.g., the user’s location, device health, and unusual behavior), to continuously verify access."
"CRB:5.6.2.4","5.6.2.4","CRB","Technology and Operations","Identity and Access Management","Remote Access Management","Context-aware controls (e.g., device details, behavior analysis, geolocation) shall be leveraged to govern access dynamically based on risk."
"CRB:5.6.2.5","5.6.2.5","CRB","Technology and Operations","Identity and Access Management","Remote Access Management","Entity-owned devices shall be prioritized for remote access usage, with zero-trust principles consistently applied to both entity and personal devices (BYOD)."
"CRB:5.6.2.6","5.6.2.6","CRB","Technology and Operations","Identity and Access Management","Remote Access Management","Devices used for remote access shall be patched and up-to-date. Unpatched devices shall be quarantined or remediated."
"CRB:5.6.2.7","5.6.2.7","CRB","Technology and Operations","Identity and Access Management","Remote Access Management","Remote sessions by external third-party vendors shall be time-limited based on business needs, recorded, and monitored."
"CRB:5.6.2.8","5.6.2.8","CRB","Technology and Operations","Identity and Access Management","Remote Access Management","All access and activities performed using remote access shall be logged and monitored."
"CRB:5.6.2.9","5.6.2.9","CRB","Technology and Operations","Identity and Access Management","Remote Access Management","Direct remote access to internal production systems shall not be permitted. Access to production environments shall only be allowed through approved mechanisms and controls."
"CRB:5.6.2.10","5.6.2.10","CRB","Technology and Operations","Identity and Access Management","Remote Access Management","All remote access communication and sessions shall be encrypted end-to-end using latest security protocols (e.g., VPN, mTLS)."
"CRB:5.6.2.11","5.6.2.11","CRB","Technology and Operations","Identity and Access Management","Remote Access Management","Inactive or idle remote sessions shall be automatically terminated after a defined period. This period shall be determined based on the criticality of the system and exchanged data."
"CRB:5.6.3.1","5.6.3.1","CRB","Technology and Operations","Identity and Access Management","Password Management","A comprehensive password management policy shall be documented, approved, implemented and reviewed at least annually or following a significant security incident."
"CRB:5.6.3.2","5.6.3.2","CRB","Technology and Operations","Identity and Access Management","Password Management","The password policy shall include requirements for password history, account lockout, maximum password age, minimum password length, prohibited password lists, and include secure log-on procedures."
"CRB:5.6.3.3","5.6.3.3","CRB","Technology and Operations","Identity and Access Management","Password Management","Passwords shall: a) be at least twelve (12) or more characters in length; b) include letters, numbers, and special characters; c) not contain easily guessable information, such as usernames or birth dates; and d) be checked against a database of compromised, weak, or commonly used passwords during creation."
"CRB:5.6.3.4","5.6.3.4","CRB","Technology and Operations","Identity and Access Management","Password Management","Multi-Factor Authentication (MFA), such as One-Time Password (OTP), token-based authentication, certificate-based authentication, or biometric methods (e.g., fingerprint or facial recognition), shall be required for all users. Regulated Entities shall prioritize passwordless authentication mechanisms."
"CRB:5.6.3.5","5.6.3.5","CRB","Technology and Operations","Identity and Access Management","Password Management","All systems default, vendor-supplied, and publicly documented accounts passwords (including service accounts) shall be changed prior to deployment and configured to meet the Entities’ password policy."
"CRB:5.6.3.6","5.6.3.6","CRB","Technology and Operations","Identity and Access Management","Password Management","Passwords shall be communicated and reset in a secure manner to ensure access by the intended user, with default passwords replaced immediately by the user upon first use."
"CRB:5.6.3.7","5.6.3.7","CRB","Technology and Operations","Identity and Access Management","Password Management","Passwords shall be stored securely using cryptographic hashing algorithms (e.g., PBKDF2) with salting."
"CRB:5.7.1.1","5.7.1.1","CRB","Technology and Operations","Cryptography","Cryptographic Controls and Key Management","A cryptographic policy shall be documented, approved, implemented, reviewed on annual basis, and updated. The policy shall include organization specific principles and acceptable use of cryptographic controls and consider industry standards, best practices, and any legal and regulatory requirements."
"CRB:5.7.1.2","5.7.1.2","CRB","Technology and Operations","Cryptography","Cryptographic Controls and Key Management","Procedures shall be established to protect the cryptography technology setup. The procedures shall consider: a) selection and implementation of cryptographic control requirements (e.g., strength, length, method) in accordance with data privacy and protection policies, regulatory obligations, and industry best practices; b) cryptographic key management, such as secure generation, rotation, distribution, storage, archival, retrieval, usage, backup, recovery, destruction, purging of revoked keys etc.; and c) usage of MFA and combination keys / split knowledge / dual control requirement for login into the key store."
"CRB:5.7.1.3","5.7.1.3","CRB","Technology and Operations","Cryptography","Cryptographic Controls and Key Management","The key length used for encryption shall be as per the latest globally acceptable industry best practices, and reviewed at least annually for adequacy or whenever vulnerabilities or new recommendations are identified."
"CRB:5.7.1.4","5.7.1.4","CRB","Technology and Operations","Cryptography","Cryptographic Controls and Key Management","Regulated Entities shall use appropriate encryption techniques to secure sensitive data within system logs, configuration files, databases, networks, applications, backups, and other information assets as applicable. These techniques shall be applied consistently across on- premises and cloud installations."
"CRB:5.7.1.5","5.7.1.5","CRB","Technology and Operations","Cryptography","Cryptographic Controls and Key Management","Key-encrypting keys shall be stored separately from data-encrypting keys, and encrypted data sets shall not share the same storage location as their respective encryption keys."
"CRB:5.7.1.6","5.7.1.6","CRB","Technology and Operations","Cryptography","Cryptographic Controls and Key Management","Encryption keys shall be reviewed periodically and rotate when suspected of a compromise to limit the data exposure."
"CRB:5.8.1.1","5.8.1.1","CRB","Technology and Operations","Application Security and Secure SDLC","Secure Software Development Lifecycle (SDLC)","Secure Software Lifecycle management process shall be defined, approved, implemented, monitored, reviewed annually, and updated."
"CRB:5.8.1.2","5.8.1.2","CRB","Technology and Operations","Application Security and Secure SDLC","Secure Software Development Lifecycle (SDLC)","Security and privacy design principles and classification requirements shall be incorporated and taken into consideration while designing new application or outlined in the agreement with the entity supplying Commercial Off-the-Shelf (COTS) applications. All enhancements to the in-house applications or commercial off the shelf applications shall follow the same process."
"CRB:5.8.1.3","5.8.1.3","CRB","Technology and Operations","Application Security and Secure SDLC","Secure Software Development Lifecycle (SDLC)","The regulated entity shall ensure that all software, whether developed internally or acquired externally, is accompanied by an up-to-date Software Bill of Materials (SBOM), including those provided by third-party suppliers."
"CRB:5.8.1.4","5.8.1.4","CRB","Technology and Operations","Application Security and Secure SDLC","Secure Software Development Lifecycle (SDLC)","Secure design reviews shall be conducted at the architecture and design phases."
"CRB:5.8.1.5","5.8.1.5","CRB","Technology and Operations","Application Security and Secure SDLC","Secure Software Development Lifecycle (SDLC)","The information security team shall be involved to ensure that security requirements are addressed during all phases of software lifecycle management (design, development, testing, implementation, maintenance, disposal, etc.)."
"CRB:5.8.1.6","5.8.1.6","CRB","Technology and Operations","Application Security and Secure SDLC","Secure Software Development Lifecycle (SDLC)","A DevSecOps approach shall be followed to integrate security into the development and operations workflows."
"CRB:5.8.1.7","5.8.1.7","CRB","Technology and Operations","Application Security and Secure SDLC","Secure Software Development Lifecycle (SDLC)","Secure coding practices shall be adopted as per organizational requirements and global best practices (e.g., Open Worldwide Application Security Project (OWASP) Secure Coding Practices) to ensure common coding vulnerabilities (e.g. Common Weakness Enumeration (CWE) Top 25 Most Dangerous Software Weaknesses list) are addressed during development and appropriate protective, detective, corrective, and recovery control measures are implemented."
"CRB:5.8.1.8","5.8.1.8","CRB","Technology and Operations","Application Security and Secure SDLC","Secure Software Development Lifecycle (SDLC)","Segregation of duties shall be implemented by restricting access to production, testing, and development environments."
"CRB:5.8.1.9","5.8.1.9","CRB","Technology and Operations","Application Security and Secure SDLC","Secure Software Development Lifecycle (SDLC)","Access to the program source code for in-house developed applications shall be restricted, monitored, and logged. For COTS applications, access to source code shall be governed by storing the code on-premise or strict contractual terms or escrow arrangements."
"CRB:5.8.1.10","5.8.1.10","CRB","Technology and Operations","Application Security and Secure SDLC","Secure Software Development Lifecycle (SDLC)","For critical applications, access to source code shall be managed by: a) storing the code on premises; or b) through an escrow arrangement; or c) strict contractual terms with application/service provider."
"CRB:5.8.1.11","5.8.1.11","CRB","Technology and Operations","Application Security and Secure SDLC","Secure Software Development Lifecycle (SDLC)","Version control mechanisms shall be employed to track code changes and ensure integrity."
"CRB:5.8.2.1","5.8.2.1","CRB","Technology and Operations","Application Security and Secure SDLC","Application Security","Either a security assessment certificate or equivalent evidence shall be obtained, or a vulnerability assessment or equivalent testing shall be conducted for COTS products to ensure that the applications are tested and identified vulnerabilities are remediated."
"CRB:5.8.2.2","5.8.2.2","CRB","Technology and Operations","Application Security and Secure SDLC","Application Security","All applications, regardless their type, shall undergo comprehensive security assessments, including vulnerability assessments and penetration testing, on periodic basis."
"CRB:5.8.2.3","5.8.2.3","CRB","Technology and Operations","Application Security and Secure SDLC","Application Security","Application and/or systems shall display generic error messages by considering, at a minimum, below principles: a) use custom error pages; b) authentication failure responses do not indicate which part of the authentication data was Incorrect; and c) do not disclose or display sensitive information in error responses, including system details, session identifiers, or account information, etc."
"CRB:5.8.2.4","5.8.2.4","CRB","Technology and Operations","Application Security and Secure SDLC","Application Security","Error logs shall be reviewed daily for critical systems and at least monthly for other systems to detect any abnormal behavior and potential attacks."
"CRB:5.8.3.1","5.8.3.1","CRB","Technology and Operations","Application Security and Secure SDLC","Application Programming Interface (API) Security","APIs shall be designed and developed following secure coding practices (e.g., OWASP API Security Top 10) to prevent vulnerabilities such as broken authentication, data exposure, and lack of rate limiting. Furthermore, disable unused HTTP methods and decommission outdated versions."
"CRB:5.8.3.2","5.8.3.2","CRB","Technology and Operations","Application Security and Secure SDLC","Application Programming Interface (API) Security","Regulated Entities shall maintain the inventory of API usage."
"CRB:5.8.3.3","5.8.3.3","CRB","Technology and Operations","Application Security and Secure SDLC","Application Programming Interface (API) Security","APIs shall enforce strong authentication mechanisms (e.g., OAuth 2.0, API Keys, mTLS) and implement Role-Based Access Controls (RBAC) to ensure only authorized users and applications can access them."
"CRB:5.8.3.4","5.8.3.4","CRB","Technology and Operations","Application Security and Secure SDLC","Application Programming Interface (API) Security","All inputs to APIs shall be validated to prevent injection attacks, and output data shall be properly encoded to mitigate potential risks."
"CRB:5.8.3.5","5.8.3.5","CRB","Technology and Operations","Application Security and Secure SDLC","Application Programming Interface (API) Security","Rate limiting and throttling mechanisms shall be implemented to protect APIs against Denial of Service (DoS) attacks and abuse."
"CRB:5.8.3.6","5.8.3.6","CRB","Technology and Operations","Application Security and Secure SDLC","Application Programming Interface (API) Security","API traffic shall be encrypted using industry-standard algorithms to ensure the confidentiality and integrity of data in transit."
"CRB:5.8.3.7","5.8.3.7","CRB","Technology and Operations","Application Security and Secure SDLC","Application Programming Interface (API) Security","API gateways shall be employed to enforce security policies, manage traffic, and monitor API usage. APIs shall be registered and managed through the gateway to centralize security enforcement."
"CRB:5.8.3.8","5.8.3.8","CRB","Technology and Operations","Application Security and Secure SDLC","Application Programming Interface (API) Security","APIs shall undergo security assessments on periodic basis and after major changes, including but not limited to (e.g., functional testing, penetration testing, fuzzing, application security testing (DAST/SAST), runtime testing, and security misconfiguration testing)."
"CRB:5.8.3.9","5.8.3.9","CRB","Technology and Operations","Application Security and Secure SDLC","Application Programming Interface (API) Security","All API activities, including authentication attempts, data access, and errors, shall be logged and monitored for anomalies and suspicious activities."
"CRB:5.8.3.10","5.8.3.10","CRB","Technology and Operations","Application Security and Secure SDLC","Application Programming Interface (API) Security","Regulated Entities shall define and document a lifecycle management process for APIs, including secure deprecation and retirement practices, to prevent vulnerabilities in unused or legacy APIs."
"CRB:5.8.3.11","5.8.3.11","CRB","Technology and Operations","Application Security and Secure SDLC","Application Programming Interface (API) Security","APIs shall handle errors securely to avoid exposing sensitive information (e.g., stack traces, database errors) in error responses or messages."
"CRB:5.8.3.12","5.8.3.12","CRB","Technology and Operations","Application Security and Secure SDLC","Application Programming Interface (API) Security","For third-party APIs, the Entities shall assess their security posture, ensuring compliance with contractual obligations and industry standards."
"CRB:5.9.1.1","5.9.1.1","CRB","Technology and Operations","Change and Release Management","Change and Release Management Process","A change and release management process shall be defined, approved, implemented, monitored, reviewed annually, and updated."
"CRB:5.9.1.2","5.9.1.2","CRB","Technology and Operations","Change and Release Management","Change and Release Management Process","The change and release management process shall ensure appropriate consideration of defined security controls in complete cycle of change, configuration, and release management."
"CRB:5.9.1.3","5.9.1.3","CRB","Technology and Operations","Change and Release Management","Change and Release Management Process","Regulated Entities shall classify the changes based on priority, complexity, and nature of change and ensure that risks are identified, assessed, and addressed."
"CRB:5.9.1.4","5.9.1.4","CRB","Technology and Operations","Change and Release Management","Change and Release Management Process","Appropriate documentation, testing, and approvals shall be in place before change is implemented in production. The documentation of the major changes shall include at a minimum: a) a detailed description of the proposed change; b) an impact assessment on core business services and customers; c) risk analysis; and d) mitigation strategies."
"CRB:5.9.1.5","5.9.1.5","CRB","Technology and Operations","Change and Release Management","Change and Release Management Process","All changes shall be reviewed and approved to ensure consistent adherence to applicable policies and procedures."
"CRB:5.9.1.6","5.9.1.6","CRB","Technology and Operations","Change and Release Management","Change and Release Management Process","Testing shall be planned, executed, and documented to validate expected outcome. Testing shall consider the following: a) user acceptance testing (to validate functionality); b) stress testing, exception handling, and integrity of application interfaces; c) security testing for user management, application and infrastructure security, source code reviews (as applicable), penetration testing, and vulnerability assessment; and d) audit trails."
"CRB:5.9.1.7","5.9.1.7","CRB","Technology and Operations","Change and Release Management","Change and Release Management Process","Appropriate fallback procedures shall be in place in case of recovering from unsuccessful changes and unforeseen events."
"CRB:5.9.1.8","5.9.1.8","CRB","Technology and Operations","Change and Release Management","Change and Release Management Process","Regulated Entities shall seek approval from CBK for changes which have a major impact on the Regulated Entity core business services and/or affecting customers."
"CRB:5.9.1.9","5.9.1.9","CRB","Technology and Operations","Change and Release Management","Change and Release Management Process","Regulated Entities shall submit a formal approval request to CBK for any major change in advance of the intended implementation date, following CBK’s defined timelines and instructions in this regard. The approval request shall include a detailed description of the proposed change, an impact assessment on core business services and customers, risk analysis, and mitigation strategies. If CBK requested additional information, the Regulated Entity shall respond promptly to ensure timely processing of the request."
"CRB:5.10.1.1","5.10.1.1","CRB","Technology and Operations","Capacity Management","Capacity and Performance Management","A capacity management process shall be documented, approved, implemented, and reviewed at least annually."
"CRB:5.10.1.2","5.10.1.2","CRB","Technology and Operations","Capacity Management","Capacity and Performance Management","Regulated Entities shall define appropriate thresholds for capacity monitoring based on system criticality and consider current utilization, future requirements, current system performance, service unavailability etc. and implement measures to address them."
"CRB:5.10.1.3","5.10.1.3","CRB","Technology and Operations","Capacity Management","Capacity and Performance Management","The defined thresholds shall be reviewed on quarterly basis or following major incidents, upgrades, or changes to ensure continued relevance and alignment with business needs."
"CRB:5.10.1.4","5.10.1.4","CRB","Technology and Operations","Capacity Management","Capacity and Performance Management","Continuous monitoring, measurement, and analysis shall be performed to track asset-level performance, including CPU usage, latencies and response time, storage utilization, throughputs, as well as downtimes and causes of unavailability. Real-time alerts and dashboards shall be utilized to provide early warnings on capacity issues."
"CRB:5.10.1.5","5.10.1.5","CRB","Technology and Operations","Capacity Management","Capacity and Performance Management","Regulated Entities shall implement proactive measures to address capacity risks and bottlenecks, by having proper capacity planning ensuring required resources are sufficient to meet current and future business needs in a cost-effective, scalable, and secure manner. Capacity planning shall be conducted on an annual basis and reviewed quarterly and as needed based on changes to business forecasts, infrastructure, or emerging risks."
"CRB:5.10.1.6","5.10.1.6","CRB","Technology and Operations","Capacity Management","Capacity and Performance Management","Capacity testing, such as stress testing, shall be performed during system deployments, upgrades, or significant changes to validate resource adequacy."
"CRB:5.11.1.1","5.11.1.1","CRB","Technology and Operations","Data Protection and Privacy","Data Protection","A Data Protection policy and supporting procedures for the identification and protection of important records shall be documented, approved, implemented, and reviewed on an annual basis."
"CRB:5.11.1.2","5.11.1.2","CRB","Technology and Operations","Data Protection and Privacy","Data Protection","The policy and procedures shall include specifications for processing, storage, retention and disposal of classified data and information in accordance with: a) regulatory and legal requirements; and b) local and cross-border business requirements."
"CRB:5.11.1.3","5.11.1.3","CRB","Technology and Operations","Data Protection and Privacy","Data Protection","Security controls shall be implemented to protect confidentiality, integrity, and availability of classified data and information while at rest, in transit, and during processing or use."
"CRB:5.11.1.4","5.11.1.4","CRB","Technology and Operations","Data Protection and Privacy","Data Protection","Encryption techniques used to protect classified data and information shall be in accordance with the approved cryptography policy of the Regulated Entities, which shall be in line with industry best practices."
"CRB:5.11.1.5","5.11.1.5","CRB","Technology and Operations","Data Protection and Privacy","Data Protection","Data security and privacy measures, including but not limited to access controls, encryption, and monitoring, shall be apply to data shared with supply chain vendors."
"CRB:5.11.1.6","5.11.1.6","CRB","Technology and Operations","Data Protection and Privacy","Data Protection","Data privacy and protection requirements shall be communicated to and strictly adhered to by third-party vendors, specified within the outsourcing agreement."
"CRB:5.11.2.1","5.11.2.1","CRB","Technology and Operations","Data Protection and Privacy","Data Privacy","A data privacy policy shall be documented, approved, implemented, and reviewed annually to align with legal, regulatory, and industry requirements."
"CRB:5.11.2.2","5.11.2.2","CRB","Technology and Operations","Data Protection and Privacy","Data Privacy","Regulated Entities shall include privacy-by-design as a core component of the data protection strategy, to ensure that data privacy requirements are embedded into all systems and technologies from the onset of the system / technology life cycle. The following privacy-by- design principles should be taken into consideration: a) proactive not reactive; Preventative not remedial: Privacy should be integrated into the design from the onset to prevent privacy breaches in a proactive manner. b) privacy as the default setting: Personal data should be automatically protected in any system without requiring any additional actions to be taken by the concerned users to protect their privacy. c) privacy embedded into design: Privacy should be a core consideration in system design and architecture. d) full functionality - Positive-sum, not Zero-sum: Privacy should accommodate all valid interest and objectives without sacrificing elements such as usability, efficiency or functionality. e) end-to-end security - Lifecycle protection: Data should be protected at all stages of the lifecycle from collection through to deletion, including secure storage, transmission and eventual destruction. f) visibility and transparency - Keep it open: Systems and processes shall be transparent to ensure authorized users have visibility on how their data is handled. g) respect for user privacy - Keep it user-centric: The privacy interests of users should be prioritized by the system, including providing user-friendly options to select and manage privacy preferences."
"CRB:5.11.2.3","5.11.2.3","CRB","Technology and Operations","Data Protection and Privacy","Data Privacy","The following privacy principles concerning personal data shall be included in the policy: a) Lawfulness, Fairness, and Transparency: Personal data shall be processed lawfully, fairly, and in a transparent manner in relation to the data subject; b) Purpose Limitation: Personal data shall be collected for specified, explicit, and legitimate purposes and not further processed in a manner that is incompatible with those purposes; further processing for archival purposes shall not be considered to be incompatible with the initial purposes; c) Data Minimization: Personal data collected shall be adequate, relevant, and limited to what is necessary in relation to the purposes for which they are processed; d) Accuracy: Personal data shall be accurate and, where necessary, kept up to date; steps shall be taken to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay; e) Storage Limitation: Personal data shall be kept in a form, which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed; personal data may be stored for longer periods if it will be processed solely for archiving purposes to safeguard the rights and freedoms of the data subject. Data retention periods shall be in compliance with CBK relevant instructions, laws, and regulations.; f) Consent: Personal data shall be collected with explicit consent of the data subject, ensuring that such consent is freely-given, specific, informed, unambiguous and affirmative. Consent should be separate from other terms and conditions and not used as a precondition of signing up to or accessing services, unless necessary for the service itself. Data subjects shall have the ability to withdraw consent at any time; g) Right to be Forgotten: Data subjects shall have the right to request erasure of their personal data when it is no longer processed, no longer necessary in relation to the original purposes for which it was collected or otherwise processed, consent is withdrawn, or the personal data does not comply with legal and regulatory requirements; and h) Integrity and Confidentiality: Personal data shall be processed in a manner that ensures appropriate security of the personal data, including protection against unauthorized or unlawful processing, and against accidental loss, destruction, or damage, using appropriate technical or organizational measures."
"CRB:5.11.2.4","5.11.2.4","CRB","Technology and Operations","Data Protection and Privacy","Data Privacy","The Regulated Entities shall promptly notify CBK upon the discovery of a personal data breach, without delay and in accordance with the timelines defined in CBK Operational Resilience Baselines."
"CRB:5.11.2.5","5.11.2.5","CRB","Technology and Operations","Data Protection and Privacy","Data Privacy","The Regulated Entities shall notify the data subject in case of a personal data breach, without undue delay, if the breach is likely to result in a high risk to the data subject’s rights and freedoms, enabling the data subject to take necessary precautions."
"CRB:5.11.2.6","5.11.2.6","CRB","Technology and Operations","Data Protection and Privacy","Data Privacy","A Privacy Impact Assessment (PIA) shall be conducted every two years or whenever significant changes occur in the environment to identify potential personal data at risk and ascertain that appropriate technical measures are in place to protect such information. PIAs shall be reviewed on annual basis."
"CRB:5.11.2.7","5.11.2.7","CRB","Technology and Operations","Data Protection and Privacy","Data Privacy","Data protection requirements shall be communicated to, and enforced within outsourcing agreements. The Regulated Entities shall ensure that third-parties adhere strictly to the data privacy and protection requirements and policies."
"CRB:5.12.1.1","5.12.1.1","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Logging and Monitoring","A policy for logging and monitoring shall be defined, approved, implemented, and reviewed annually. The policy shall include requirements of log types, content, protection, retention, archival, monitoring, and secure destruction."
"CRB:5.12.1.2","5.12.1.2","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Logging and Monitoring","Logs shall be enabled on all critical technology assets on-premises and in cloud."
"CRB:5.12.1.3","5.12.1.3","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Logging and Monitoring","The granularity level of logging shall be based on the classification of the data and risk assessment. At a minimum, the logs shall contain the following information: a) user ID (who); b) timestamp (i.e., date and time) (when); c) source of activity, such as location, IP address, service etc. (from where); d) details of event such as log-on, log-off (what); e) details of successful and unsuccessful system access attempts; f) details of successful and unsuccessful resource access attempts; and g) details of successful and unsuccessful configuration or settings change access attempts."
"CRB:5.12.1.4","5.12.1.4","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Logging and Monitoring","Relevant log sources and logs received shall be monitored, correlated, and protected against unauthorized tampering."
"CRB:5.12.1.5","5.12.1.5","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Logging and Monitoring","Regulated Entities shall implement adequate technologies, i.e., security information and event management (SIEM) tools, to monitor and log security events, including correlation of events and identification of anomalies and security incidents for further investigation."
"CRB:5.12.1.6","5.12.1.6","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Logging and Monitoring","Automated systems should be used to categorize and prioritize incidents based on the severity of the identified threat, using AI-based risk assessment algorithms."
"CRB:5.12.2.1","5.12.2.1","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Detection and Analysis","A security information and event management process to identify, track, and monitor events, issues, and incidents shall be documented, approved, implemented, and reviewed annually. The process shall include criteria for: a) Classification and categorization of events and incidents; b) assigning ownership; c) assessing whether they constitute security breach; d) assessing the severity and criticality of the incident; and e) sharing of incident information and associated threat intelligence."
"CRB:5.12.2.2","5.12.2.2","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Detection and Analysis","Regulated Entities shall establish and maintain a structured threat hunting process to proactively identify unknown, emerging, or ongoing unresolved threats within the environment."
"CRB:5.12.2.3","5.12.2.3","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Detection and Analysis","Indicators of Compromise (IoCs) shall be continuously monitored using automated detection techniques and rapidly reported for investigation."
"CRB:5.12.2.4","5.12.2.4","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Detection and Analysis","Incidents shall be validated by correlating evidence obtained through different sources and logs (e.g., firewall logs and source IP addresses, application logs and usernames)."
"CRB:5.12.3.1","5.12.3.1","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Response and Recovery","An Incident Response Team (IRT) or equivalent group shall be formed by Regulated Entities to respond to security incidents. The IRT shall be available 24/7 to respond to information security incidents or events."
"CRB:5.12.3.2","5.12.3.2","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Response and Recovery","A documented security incident response plan shall be prepared and made readily accessible to limit or mitigate the impact of security incidents."
"CRB:5.12.3.3","5.12.3.3","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Response and Recovery","Incident response playbooks shall be automated to enable timely management and containment of security incidents with minimal human intervention."
"CRB:5.12.3.4","5.12.3.4","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Response and Recovery","A summary of incidents shall be reported to Board and Executive/Senior Management on a quarterly basis or more frequently based on the severity and impact of the incident."
"CRB:5.12.3.5","5.12.3.5","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Response and Recovery","All reported security incidents shall be tracked, logged, analyzed, and remediated. Remediation strategy shall be implemented in a manner that is consistent with the nature and severity of the incident."
"CRB:5.12.4.1","5.12.4.1","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Forensics and Evidence Collection","Forensic procedures shall be established, maintained, and reviewed annually to ensure readiness for evidence collection, preservation, and analysis."
"CRB:5.12.4.2","5.12.4.2","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Forensics and Evidence Collection","The forensic procedures shall define roles, responsibilities, and escalation paths to ensure forensic activities are effectively coordinated."
"CRB:5.12.4.3","5.12.4.3","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Forensics and Evidence Collection","The procedures shall mandate and define the appropriate use of forensic tools and techniques to collect, retain, and archive evidence in a way that maintains its integrity for legal or investigative purposes."
"CRB:5.12.4.4","5.12.4.4","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Forensics and Evidence Collection","The procedures shall specify when and how authorization and approval is required from management, law enforcement, or regulator to initiate forensic activities, ensuring compliance with operational, legal, and regulatory mandates."
"CRB:5.12.4.5","5.12.4.5","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Forensics and Evidence Collection","Communication protocols with law enforcement and regulators shall be formally documented in the forensic procedures, including clearly defined Point of Contact (POC), to ensure timely coordination and reporting of incidents, in compliance with confidentiality, privacy, and regulatory requirements."
"CRB:5.12.4.6","5.12.4.6","CRB","Technology and Operations","Logging, Monitoring, and Security Incident Management","Forensics and Evidence Collection","Regulated Entities shall ensure that the personnel involved in forensic investigations are trained and certified in relevant forensic tools and techniques."
