id,function,title,title_ar,requirement,requirement_ar,purpose_is_official,csf,cis,iso,phase,effort
"RS-1","RS","Incident Reporting to NCSC & Leadership","الإبلاغ عن الحوادث للمركز وللإدارة العليا","Establish and communicate a simple incident reporting process so that staff know how to report suspected incidents (for example, phishing, data loss, or system compromise). Appoint one person as the incident response lead and at least one backup to coordinate incident handling, even if external service providers are used. Maintain up-to-date contact details for the incident lead, backup, relevant service providers, and NCSC. Where an actual or suspected cybersecurity incident or threat may be reportable under NCSC-issued incident management or reporting guidance, the Entity MUST notify NCSC promptly through the official channels and within the applicable timelines set by NCSC. Where appropriate, the Entity MUST use out-of-band communication channels during active incidents or where normal channels may be affected. The Entity MUST provide follow-up updates and information as required by applicable NCSC reporting guidance.","تنشئ الجهة آلية مبسطة للإبلاغ عن الحوادث وتعممها بحيث يعرف الموظفون كيف يبلغون عن الحوادث المشتبه بها، ومنها مثلا التصيد أو فقد البيانات أو اختراق الأنظمة، وتعين شخصا واحدا مسؤولا عن الاستجابة للحوادث وبديلا واحدا على الأقل لتنسيق التعامل معها حتى مع الاستعانة بمزودي خدمة خارجيين، وتحفظ بيانات اتصال محدثة للمسؤول وبديله ولمزودي الخدمة المعنيين وللمركز، وحيثما كان الحادث أو التهديد السيبراني القائم أو المشتبه به مما يجب الإبلاغ عنه بموجب إرشادات المركز في إدارة الحوادث أو الإبلاغ عنها، وجب على الجهة إخطار المركز فورا عبر القنوات الرسمية وضمن المهل التي يحددها، وعند الاقتضاء يجب على الجهة استخدام قنوات اتصال بديلة أثناء الحوادث النشطة أو حين تتأثر القنوات المعتادة، كما يجب عليها تقديم التحديثات والمعلومات اللاحقة وفق إرشادات الإبلاغ المعمول بها لدى المركز.","yes","RS.CO-02 RS.CO-03 RS.MA-01","17.1 17.2 17.3 17.5","A.5.24 A.5.25 A.6.8","1","medium"
"RS-2","RS","Basic Incident Handling & Coordination","التعامل الأساسي مع الحوادث والتنسيق بشأنها","Maintain a short written incident response procedure that covers: initial triage, containment, communication, evidence preservation, recovery, and reporting/escalation (including when and how to notify NCSC and other regulators or law enforcement). When NCSC or another competent authority notifies the entity of a potential incident, promptly triage and investigate, take reasonable remedial actions, and provide feedback where requested. After significant incidents, perform a brief lessons-learned review and record key improvements to be implemented, and share relevant lessons learned with NCSC or sector authorities where appropriate.","تحفظ الجهة إجراء مكتوبا موجزا للاستجابة للحوادث يغطي الفرز الأولي والاحتواء والتواصل وحفظ الأدلة والتعافي والإبلاغ والتصعيد بما في ذلك متى وكيف يخطر المركز وسائر الجهات الرقابية أو جهات إنفاذ القانون، وحين يخطر المركز أو جهة مختصة أخرى الجهة بحادث محتمل، تفرزه وتحقق فيه فورا وتتخذ إجراءات معالجة معقولة وتقدم تغذية راجعة عند طلبها، وبعد الحوادث الجوهرية تجري مراجعة موجزة للدروس المستفادة وتسجل التحسينات الرئيسية الواجب تنفيذها وتشارك الدروس ذات الصلة مع المركز أو جهات القطاع عند الاقتضاء.","yes","RS.MA-02 RS.MI-01 RS.AN-03 ID.IM-04","17.4 17.6 17.8","A.5.26 A.5.27 A.5.28","2","medium"
"RC-1","RC","Recovery Planning","التخطيط للتعافي","Maintain a simple recovery plan or documented procedures for restoring critical systems and services after incidents or other disruptions. The plan SHOULD reference backup locations, key contacts, and any sequencing needed for restoration, especially for Sensitive and Restricted data. Review and update the plan at least annually and after major changes.","تحفظ الجهة خطة تعاف مبسطة أو إجراءات موثقة لاستعادة الأنظمة والخدمات الحرجة بعد الحوادث أو غيرها من حالات التعطل، وينبغي أن تشير الخطة إلى مواقع النسخ الاحتياطية وجهات الاتصال الرئيسية وأي ترتيب لازم لعمليات الاستعادة ولا سيما بالنسبة للبيانات الحساسة والمقيدة، وتراجع الخطة وتحدث سنويا على الأقل وبعد التغييرات الجوهرية.","yes","RC.RP-01 RC.RP-03","11.1 17.4","A.5.29 A.5.30","2","medium"
"RC-2","RC","Testing & Continuous Improvement","الاختبار والتحسين المستمر","Conduct basic recovery or continuity tests (for example, tabletop exercises or partial restoration tests) for critical systems at least annually. After tests or real incidents, capture lessons learned, update procedures and controls where practical, and track completion of agreed improvements.","تجري الجهة اختبارات أساسية للتعافي أو الاستمرارية للأنظمة الحرجة سنويا على الأقل، ومنها مثلا التمارين المكتبية أو اختبارات الاستعادة الجزئية، وبعد الاختبارات أو الحوادث الفعلية توثق الدروس المستفادة وتحدث الإجراءات والضوابط حيثما كان ذلك عمليا وتتابع إنجاز التحسينات المتفق عليها.","yes","ID.IM-02 RC.RP-05","11.5 17.7","A.5.30","3","medium"
"CLD-1","CLD","Regulatory Authorization","الترخيص التنظيمي","Entities MUST ensure the Cloud Service Provider (CSP) is authorized to operate in the State of Kuwait in accordance with regulations issued by the relevant national authorities","يجب على الجهات التأكد من أن مزود الخدمة السحابية مرخص له بالعمل في دولة الكويت وفقا للوائح الصادرة عن الجهات الوطنية المختصة","no","GV.SC-03 GV.OC-03","15.1","A.5.19 A.5.31","1","low"
"CLD-2","CLD","Provider Due Diligence","العناية الواجبة بمزود الخدمة","Prior to selection, Entities MUST evaluate the CSP’s security posture. This requirement is satisfied by reviewing the CSP’s valid, independent international security certifications (e.g., ISO 27001, SOC 2 Type II, CSA STAR Level 2).","يجب على الجهات قبل الاختيار تقييم الوضع الأمني لمزود الخدمة السحابية، ويستوفى هذا المتطلب بمراجعة الشهادات الأمنية الدولية المستقلة السارية لدى المزود مثل الأيزو 27001 وSOC 2 Type II وCSA STAR المستوى الثاني.","no","GV.SC-06 GV.SC-07","15.3 15.5","A.5.19 A.5.21","1","low"
"CLD-3","CLD","Right to Audit (Third-Party Assurance)","حق التدقيق (تأكيدات الأطراف الخارجية)","Contracts MUST include a ""Right to Audit."" To protect the security of multi-tenant environments, this right is exercised by the Entity reviewing the CSP’s independent Third-Party Audit Reports (e.g., SOC 2, C5) rather than conducting physical data center visits.","يجب أن تتضمن العقود حق التدقيق، وحماية لأمن البيئات متعددة المستأجرين يمارس هذا الحق بمراجعة الجهة لتقارير التدقيق المستقلة الصادرة عن طرف ثالث لدى المزود مثل SOC 2 وC5 بدلا من إجراء زيارات مادية لمراكز البيانات.","no","GV.SC-05 GV.SC-07","15.5","A.5.22 A.5.35","2","low"
"CLD-4","CLD","Incident Notification Clause","شرط الإخطار بالحوادث","Contracts MUST include a commitment from the CSP to notify the Entity of a confirmed data incident without undue delay to allow for accurate investigation and reporting.","يجب أن تتضمن العقود التزاما من مزود الخدمة السحابية بإخطار الجهة بأي حادث مؤكد يمس البيانات دون تأخير غير مبرر بما يتيح التحقيق والإبلاغ على نحو دقيق.","no","GV.SC-08 RS.CO-02","15.6 17.2","A.5.22 A.5.24","1","low"
"CLD-5","CLD","Data Ownership & Exit","ملكية البيانات وإنهاء الخدمة","The contract MUST explicitly state that the Entity retains exclusive ownership of their data. The CSP MUST provide tools or standard APIs to allow the Entity to retrieve their data upon contract termination.","يجب أن ينص العقد صراحة على احتفاظ الجهة بالملكية الحصرية لبياناتها، ويجب على مزود الخدمة السحابية توفير أدوات أو واجهات برمجية قياسية تمكن الجهة من استرجاع بياناتها عند إنهاء العقد.","no","GV.SC-10 ID.AM-08","15.7","A.5.23 A.5.9","2","low"
"CLD-6","CLD","Service Level Agreements (SLAs)","اتفاقيات مستوى الخدمة (SLA)","Contracts MUST define Service Level Agreements (SLAs) for availability. The agreement SHOULD include financial remedies (service credits) for failure to meet these standards.","يجب أن تحدد العقود اتفاقيات مستوى الخدمة الخاصة بالإتاحة، وينبغي أن تتضمن الاتفاقية تعويضات مالية في صورة أرصدة خدمة عند الإخفاق في بلوغ هذه المستويات.","no","GV.SC-05 ID.AM-08","15.4","A.5.22 A.5.30","3","low"
"CLD-7","CLD","Shared Responsibility Matrix","مصفوفة المسؤولية المشتركة","Entities MUST document the cloud service model (IaaS, PaaS, or SaaS) and the resulting division of security responsibilities. The Entity retains accountability for Data Classification, Identity & Access Management (IAM), and Resource Configuration, regardless of the model.","يجب على الجهات توثيق نموذج الخدمة السحابية سواء كان بنية تحتية كخدمة أو منصة كخدمة أو برمجية كخدمة، وتوثيق ما يترتب عليه من توزيع للمسؤوليات الأمنية، وتظل الجهة مسؤولة عن تصنيف البيانات وإدارة الهوية والوصول وتهيئة الموارد أيا كان النموذج.","no","GV.SC-04 GV.RR-02","15.2","A.5.23","1","medium"
"CLD-8","CLD","Cloud Asset Inventory","حصر الأصول السحابية","Maintain a real-time inventory of cloud resources. Use programmatic resource tagging to identify the Data Classification (Public, Restricted, Sensitive) and Business Owner of each resource.","تحفظ الجهة حصرا آنيا لموارد السحابة، وتستخدم الوسم البرمجي للموارد لتحديد تصنيف البيانات لكل مورد بوصفه عاما أو مقيدا أو حساسا وتحديد مالكه من جهة الأعمال.","no","ID.AM-01 ID.AM-07","1.1 3.1","A.5.9","2","medium"
"CLD-9","CLD","MFA for Cloud Consoles","المصادقة متعددة العوامل للوحات التحكم السحابية","Multi-Factor Authentication (MFA) MUST be enforced for all users with administrative access to the Cloud Management Console and root accounts.","يجب فرض المصادقة متعددة العوامل على جميع المستخدمين ذوي الوصول الإداري إلى لوحة الإدارة السحابية وعلى الحسابات الجذرية.","no","PR.AA-03 PR.AA-05","6.5 5.4","A.8.5","1","low"
"CLD-10","CLD","Service Account Hygiene","سلامة حسابات الخدمة","Service Accounts (non-human identities) MUST NOT be used for interactive human login. Keys for service accounts SHOULD be rotated periodically based on risk, or managed via automated identity federation (e.g., OIDC) to prevent credential theft.","لا يجوز استخدام حسابات الخدمة، أي الهويات غير البشرية، في الدخول التفاعلي البشري، وينبغي تدوير مفاتيح حسابات الخدمة دوريا بناء على المخاطر أو إدارتها عبر اتحاد هوية آلي مثل OIDC منعا لسرقة بيانات الاعتماد.","no","PR.AA-01 PR.AA-05","5.2 5.4 5.6","A.5.16 A.5.17","2","medium"
"CLD-11","CLD","Encryption by Default","التشفير الافتراضي","All data at rest in the cloud MUST be encrypted. Entities SHOULD utilize the CSP’s default encryption (platform-managed keys) as a minimum standard. For Sensitive data, Entities MAY opt for Customer-Managed Encryption Keys (CMEK) on cloud, based on a risk assessment. In accordance with Decision (1) of 2025.","يجب تشفير جميع البيانات المحفوظة في السحابة، وينبغي أن تستخدم الجهات التشفير الافتراضي لدى مزود الخدمة السحابية أي المفاتيح المدارة من المنصة بوصفه حدا أدنى، أما البيانات الحساسة فيجوز أن تختار الجهات لها مفاتيح تشفير يديرها العميل في السحابة بناء على تقييم للمخاطر، وذلك وفقا للقرار رقم 1 لسنة 2025.","no","PR.DS-01 PR.DS-02","3.11 3.6","A.8.24","1","low"
"CLD-12","CLD","Data Residency (Customer Content)","توطين البيانات (محتوى العميل)","The Entity MUST configure cloud services and related contracts to store and process Customer Content (files, databases, application data) according to the National Data Classification Framework (Decision No. 1 of 2025).","يجب على الجهة تهيئة الخدمات السحابية والعقود المرتبطة بها لحفظ محتوى العميل، أي الملفات وقواعد البيانات وبيانات التطبيقات، ومعالجته وفقا للإطار الوطني لتصنيف البيانات الصادر بالقرار رقم 1 لسنة 2025.","no","GV.OC-03 PR.DS-01","3.1 3.12","A.5.12 A.5.34","1","medium"
"CLD-13","CLD","Operational Metadata Exemption","استثناء البيانات الوصفية التشغيلية","Residency requirements apply to Customer Content. Operational Metadata (e.g., project IDs, billing logs, system status, and IP addresses) can be processed globally to ensure platform security, reliability, and accurate billing. Entities must ensure that metadata identifiers (such as Project IDs, folder names and labels) remain non-sensitive.","تسري متطلبات توطين البيانات على محتوى العميل، أما البيانات الوصفية التشغيلية مثل معرفات المشاريع وسجلات الفوترة وحالة الأنظمة وعناوين بروتوكول الإنترنت فيمكن معالجتها عالميا ضمانا لأمن المنصة وموثوقيتها ودقة الفوترة، وعلى الجهات التأكد من بقاء معرفات البيانات الوصفية مثل معرفات المشاريع وأسماء المجلدات والوسوم غير حساسة.","no","PR.DS-01 ID.AM-07","3.1","A.5.12","2","low"
"CLD-14","CLD","Public Access Prevention","منع الوصول العام","Cloud storage resources (e.g., object storage buckets) MUST be configured to block public access by default. Public exposure MUST be an explicit, documented exception approved by the data owner.","يجب تهيئة موارد التخزين السحابي مثل حاويات تخزين الكائنات لحجب الوصول العام افتراضيا، ويجب أن يكون أي كشف للعموم استثناء صريحا وموثقا ومعتمدا من مالك البيانات.","no","PR.AA-05 PR.DS-01","3.3 4.1","A.5.15 A.8.3","1","low"
"CLD-15","CLD","Cloud Audit Logging","تسجيل الأحداث السحابية","Enable audit logging for cloud projects. Logs MUST capture ""Admin Activity"" (configuration changes) and ""Data Access"" (who accessed data) for sensitive workloads. Retain logs for a minimum of 12 months.","تفعل الجهة تسجيل التدقيق لمشاريع السحابة، ويجب أن تلتقط السجلات النشاط الإداري أي تغييرات التهيئة والوصول إلى البيانات أي من اطلع عليها بالنسبة لأحمال العمل الحساسة، وتحفظ السجلات اثني عشر شهرا كحد أدنى.","no","DE.CM-01 DE.CM-03","8.2 8.5 8.10","A.8.15","2","medium"
"CLD-16","CLD","Secure Connectivity","الاتصال الآمن","All traffic between the entity and the cloud provider MUST be encrypted in transit using industry-standard protocols (e.g., TLS 1.2 or higher). Management interfaces MUST NOT be exposed directly to the public internet; use secure bastions, VPNs, or Identity-Aware Proxies.","يجب تشفير كل حركة البيانات بين الجهة ومزود الخدمة السحابية أثناء النقل باستخدام بروتوكولات قياسية في الصناعة مثل TLS 1.2 فأعلى، ولا يجوز كشف واجهات الإدارة مباشرة على الإنترنت العام، بل تستخدم مضيفات وسيطة آمنة أو شبكات خاصة افتراضية أو وكلاء واعين بالهوية.","no","PR.DS-02 PR.AA-05 PR.IR-01","3.10 12.6 12.7","A.8.20 A.8.21 A.8.24","1","medium"
